"no","kode_butir","nama_butir","ak","satuan"
"34","2C2","Menerjemahkan / menyadur buku atau karya ilmiah di bidang JF yang tidak dipublikasikan:","",""
"35","2C2a","dalam bentuk buku","3","Buku"
"36","2C2b","dalam bentuk makalah","1.5","Naskah"
"37","2D","Penyusunan Standar/Pedoman/ Petunjuk Pelaksanaan/ Petunjuk Teknis di bidang JF","",""
"38","2D0","Membuat buku standar/pedoman/ petunjuk pelaksanaan/ petunjuk teknis di bidang JF","3","Buku"
"39","2E","Pengembangan Kompetensi di bidang JF","",""
"40","2E","maintain performance (pemeliharaan kinerja dan target kinerja)","0.5","Sertifikat/laporan"
"41","2E0","Mengikuti kegiatan pengembangan kompetensi:","",""
"42","2E01","pelatihan fungsional","0.5","Sertifikat/laporan"
"43","2E02","seminar/lokakarya/konferensi/simposium/studi banding-lapangan","3","Sertifikat/laporan"
"44","2E03","pelatihan teknis/magang di bidang tugas JF dan memperoleh Sertifikat","",""
"45","2E03a","Lamanya lebih dari 960 jam","15","Sertifikat/laporan"
"46","2E03b","Lamanya antara 641 - 960 jam","9","Sertifikat/laporan"
"47","2E03c","Lamanya antara 481 - 640 jam","6","Sertifikat/laporan"
"48","2E03d","Lamanya antara 161 - 480 jam","3","Sertifikat/laporan"
"49","2E03e","Lamanya antara 81 - 160 jam","2","Sertifikat/laporan"
"50","2E03f","Lamanya antara 30 - 80 jam","1","Sertifikat/laporan"
"51","2E03g","Lamanya kurang dari 30 jam","0.5","Sertifikat/laporan"
"52","2E04","Pelatihan manajerial/sosial kultural di bidang tugas JF dan memperoleh Sertifikat","",""
"53","2E04a","Lamanya lebih dari 960 jam","7.5","Sertifikat/laporan"
"54","2E04b","Lamanya antara 641 - 960 jam","4.5","Sertifikat/laporan"
"55","2E04c","Lamanya antara 481 - 640 jam","3","Sertifikat/laporan"
"56","2E04d","Lamanya antara 161 - 480 jam","1.5","Sertifikat/laporan"
"57","2E04e","Lamanya antara 81 - 160 jam","1","Sertifikat/laporan"
"58","2E04f","Lamanya antara 30 - 80 jam","0.5","Sertifikat/laporan"
"59","2E04g","Lamanya kurang dari 30 jam","0.25","Sertifikat/laporan"
"60","2F","Kegiatan lain yang mendukung pengembangan profesi yang ditetapkan oleh Instansi Pembina di bidang JF","",""
"61","2F0","Melaksanakan kegiatan lain yang mendukung pengembangan profesi yang ditetapkan oleh Instansi Pembina di bidang JF","0.5","Laporan"
"62","3","UNSUR PENUNJANG","",""
"63","3A","Pengajar/Pelatih/Pembimbing di bidang JF","",""
"64","3A0","Mengajar/melatih/membimbing yang berkaitan dengan bidang JF","0.4","Sertifikat/ Laporan"
"65","3B","Keanggotaan dalam Tim Penilai/Tim Uji Kompetensi","",""
"66","3B0","Menjadi anggota Tim Penilai/ Tim Uji Kompetensi","0.04","Laporan"
"67","3C","Perolehan Penghargaan","",""
"68","3C1","Memperoleh penghargaan / tanda jasa Satya Lancana Karya Satya:","",""
"69","3C1a","30 (tiga puluh) tahun","3","Piagam"
"70","3C1b","20 (dua puluh) tahun","2","Piagam"
"71","3C1c","10 (sepuluh) tahun","1","Piagam"
"72","3C2","Penghargaan atas prestasi kerjanya","",""
"73","3C2a","Tingkat Internasional","","Sertifikat/ Piagam"
"74","3C2b","Tingkat Nasional","","Sertifikat/ Piagam"
"75","3C2c","Tingkat lokal","","Sertifikat/ Piagam"
"76","3D","Perolehan Gelar Kesarjanaan Lainnya","",""
"77","3D0","Memperoleh gelar kesarjanaan lainnya yang tidak sesuai dengan bidang tugas JF","",""
"78","3D0a","Diploma II","3","Ijazah"
"79","3D0b","Sarjana Muda/Diploma III","4","Ijazah"
"80","3D0c","Sarjana/Diploma IV","5","Ijazah"
"81","3D0d","Magister","10","Ijazah"
"82","3D0e","Doktor","15","Ijazah"
"83","3E","Pelaksanaan tugas lain yang mendukung pelaksanaan tugas JF","",""
"84","3E0","Melakukan kegiatan yang mendukung pelaksanaan tugas JF","0.04","Laporan"
