"no","kode_butir","nama_butir","ak","satuan"
"59","2E02","seminar/lokakarya/konferensi/simposium/studi banding-lapangan","3","Sertifikat/laporan"
"60","2E03","pelatihan teknis/magang di bidang tugas JF dan memperoleh Sertifikat","",""
"61","2E03a","Lamanya lebih dari 960 jam","15","Sertifikat/laporan"
"62","2E03b","Lamanya antara 641 - 960 jam","9","Sertifikat/laporan"
"63","2E03c","Lamanya antara 481 - 640 jam","6","Sertifikat/laporan"
"64","2E03d","Lamanya antara 161 - 480 jam","3","Sertifikat/laporan"
"65","2E03e","Lamanya antara 81 - 160 jam","2","Sertifikat/laporan"
"66","2E03f","Lamanya antara 30 - 80 jam","1","Sertifikat/laporan"
"67","2E03g","Lamanya kurang dari 30 jam","0.5","Sertifikat/laporan"
"68","2E04","Pelatihan manajerial/sosial kultural di bidang tugas JF dan memperoleh Sertifikat","",""
"69","2E04a","Lamanya lebih dari 960 jam","7.5","Sertifikat/laporan"
"70","2E04b","Lamanya antara 641 - 960 jam","4.5","Sertifikat/laporan"
"71","2E04c","Lamanya antara 481 - 640 jam","3","Sertifikat/laporan"
"72","2E04d","Lamanya antara 161 - 480 jam","1.5","Sertifikat/laporan"
"73","2E04e","Lamanya antara 81 - 160 jam","1","Sertifikat/laporan"
"74","2E04f","Lamanya antara 30 - 80 jam","0.5","Sertifikat/laporan"
"75","2E04g","Lamanya kurang dari 30 jam","0.25","Sertifikat/laporan"
"76","2F","Kegiatan lain yang mendukung pengembangan profesi yang ditetapkan oleh Instansi Pembina di bidang JF","",""
"77","2F0","Melaksanakan kegiatan lain yang mendukung pengembangan profesi yang ditetapkan oleh Instansi Pembina di bidang JF","0.5","Laporan"
"78","3","UNSUR PENUNJANG","",""
"79","3A","Pengajar/Pelatih/Pembimbing di bidang JF","",""
"80","3A0","Mengajar/melatih/membimbing yang berkaitan dengan bidang JF","0.4","Sertifikat/ Laporan"
"81","3B","Keanggotaan dalam Tim Penilai/Tim Uji Kompetensi","",""
"82","3B0","Menjadi anggota Tim Penilai/ Tim Uji Kompetensi","0.04","Laporan"
"83","3C","Perolehan Penghargaan","",""
"84","3C1","Memperoleh penghargaan / tanda jasa Satya Lancana Karya Satya:","",""
"85","3C1a","30 (tiga puluh) tahun","3","Piagam"
"86","3C1b","20 (dua puluh) tahun","2","Piagam"
"87","3C1c","10 (sepuluh) tahun","1","Piagam"
"88","3C2","Penghargaan atas prestasi kerjanya","",""
"89","3C2a","Tingkat Internasional","","Sertifikat/ Piagam"
"90","3C2b","Tingkat Nasional","","Sertifikat/ Piagam"
"91","3C2c","Tingkat lokal","","Sertifikat/ Piagam"
"92","3D","Perolehan Gelar Kesarjanaan Lainnya","",""
"93","3D0","Memperoleh gelar kesarjanaan lainnya yang tidak sesuai dengan bidang tugas JF","",""
"94","3D0a","Diploma II","3","Ijazah"
"95","3D0b","Sarjana Muda/Diploma III","4","Ijazah"
"96","3D0c","Sarjana/Diploma IV","5","Ijazah"
"97","3D0d","Magister","10","Ijazah"
"98","3D0e","Doktor","15","Ijazah"
"99","3E","Pelaksanaan tugas lain yang mendukung pelaksanaan tugas JF","",""
"100","3E0","Melakukan kegiatan yang mendukung pelaksanaan tugas JF","0.04","Laporan"
