"no","kode_butir","nama_butir","ak","satuan"
"12","1b","Melakukan penyusunan rencana kerja (proposal) untuk pengembangan metode tindakan karantina tumbuhan","1.01","Rencana kerja (proposal) untuk pengembangan metode tindakan karantina tumbuhan"
"13","1c","Melakukan penyusunan manual/ juklak/ juknis/ pedoman/ SOP/ Instruksi Kerja/ Sistem Manajemen Mutu perkarantinaan tumbuhan","0.54","Manual/ juklak/ juknis/ pedoman/ SOP/ Instruksi Kerja/ Sistem Manajemen Mutu perkarantinaan tumbuhan"
"14","1d","Melakukan perbanyakan OPT/OPTK/OPTP sebagai bahan pengujian","3","Laporan hasil perbanyakan OPT/OPTK/OPTP sebagai bahan pengujian"
"15","1e","Melakukan penyusunan Konsep kajian teknis dibidang Karantina tumbuhan dan keamanan hayati nabati;","0.54","Laporan hasil penyusunan konsep kajian teknis dibidang Karantina tumbuhan dan keamanan hayati nabati"
"16","1f","Melakukan pembuatan rancang bangun primer OPT/OPTK/OPTP;","0.27","Laporan hasil pembuatan rancang bangun primer OPT/OPTK/OPTP;"
"17","1g","Melakukan uji terap metode tindakan karantina;","7.5","Laporan hasil uji terap metode tindakan karantina;"
"18","1h","Melakukan uji coba metode karantina tumbuhan untuk pengujian kesehatan MP OPTK;","2.18","Laporan hasil uji coba metode karantina tumbuhan untuk pengujian kesehatan MP OPTK;"
"19","1i","Melakukan analisis siquen/pemetaan dan analisis gen/genome dari OPTK/ IAS;)","0.2","Laporan hasil analisis siquen/pemetaan gen/genome dari OPTK/ IAS;)"
"20","1j","Melakukan pengembangan/ kajian metode tindakan karantina tumbuhan/keamanan pangan;","0.27","Laporan hasil pengembangan/ kajian metode tindakan karantina tumbuhan/keamanan pangan;"
"21","1k","Melakukan analisis perubahan status OPT/ OPTK","1.84","Laporan analisis perubahan status OPT/ OPTK"
"22","1l","Melakukan analisis risiko OPT/ IAS/ agens hayati/Produk Rekayasa Genetik/ PSAT;","3","Laporan hasil analisis risiko OPT/ IAS/ agens hayati/Produk Rekayasa Genetik/ PSAT;"
"23","1m","Melakukan pengujian keefektifan agens hayati arthropoda (predator/ parasitoid/ pemakan gulma/ penyerbuk), mikroorganisme dan/atau entomopatogen untuk tindakan karantina tumbuhan;","7.5","Laporan hasil pengujian keefektifan agens hayati arthropoda (predator/ parasitoid/ pemakan gulma/ pe"
"24","1n","Melakukan perencanaan/ pengkajian/verifikasi daerah sebar OPTK hasil pemantauan","0.11","Laporan hasil perencanaan/ pengkajian/verifikasi daerah sebar OPTK hasil pemantauan"
"25","1o","Melakukan pemantauan daerah sebar OPT/OPTK/OPTP;","0.68","Laporan hasil pemantauan daerah sebar OPT/OPTK/OPTP;"
"26","1p","Melakukan analisis hasil studi kelayakan lokasi, tempat dan fasilitas pelaksanaan tindakan karantina tumbuhan","0.11","Laporan hasil analisis hasil studi kelayakan lokasi, tempat dan fasilitas pelaksanaan tindakan karan"
"27","1q","Melakukan tindakan karantina tumbuhan terhadap MP OPTK yang akan dimasukan kedalam wilayah negara RI di negara asal atau negara transit (Pre Shipment Inspection)","1.58","Laporan hasil tindakan karantina tumbuhan terhadap MP OPTK yang akan dimasukan kedalam wilayah negar"
"28","1r","Melakukan verifikasi penetapan inline inspection/Pest Free production Site/Pre clearence/Pest Free Area di negara asal","0.27","Laporan hasil verifikasi penetapan inline inspection/Pest Free production Site/Pre clearence/Pest Fr"
"29","1s","Melakukan analisis dan evaluasi hasil kesesuaian tindakan karantina tumbuhan yang dilaksanakan oleh pihak ketiga","0.11","Laporan hasil analisis dan evaluasi hasil kesesuaian tindakan karantina tumbuhan yang dilaksanakan o"
"30","1t","Menjadi saksi ahli dibidang perkarantinaan tumbuhan;","0.41","Laporan sebagai saksi ahli dibidang perkarantinaan tumbuhan;"
"31","1u","Melakukan uji kompetensi terhadap petugas karantina tumbuhan dan/atau pihak ketiga","0.27","Laporan hasil uji kompetensi terhadap petugas karantina tumbuhan dan/atau pihak ketiga"
"32","1v","Melakukan pengumpulan bahan keterangan (pulbaket) penyelidikan terhadap adanya indikasi pelanggaran peraturan perundangan Karantina Tumbuhan","1.08","bahan keterangan penyelidikan terhadap adanya indikasi pelanggaran peraturan perundangan Karantina T"
"33","1w","Melakukan penyidikan terhadap pelanggaran peraturan perundangan Karantina tumbuhan","1.08","Laporan hasil penyidikan terhadap pelanggaran peraturan perundangan Karantina tumbuhan"
"34","1x","Melakukan verifikasi/audit/penilaian pada pihak ketiga pelaksana tindakan karantina tumbuhan","0.36","Laporan hasil verifikasi/audit/penilaian pihak ketiga pelaksana tindakan karantina tumbuhan"
"35","2","PENGEMBANGAN PROFESI","",""
"36","2A","Perolehan ijazah/gelar pendidikan formal sesuai dengan bidang tugas JF","",""
"37","2A0","Memperoleh ijasah sesuai dengan bidang tugas JF","","Ijazah/Gelar"
"38","2B","Pembuatan Karya Tulis / Karya Ilmiah di bidang JF","",""
"39","2B1","Membuat karya tulis/karya ilmiah hasil penelitian/pengkajian/ survei/evaluasi di bidang JF yang dipublikasikan:","",""
"40","2B1a","Dalam buku/majalah ilmiah internasional yang terindek","20","Jurnal/Buku"
"41","2B1b","Dalam buku/majalah ilmiah nasional terakreditasi","12.5","Jurnal/Buku"
"42","2B1c","dalam buku/majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","6","Jurnal/Buku/Naskah"
"43","2B2","Membuat karya tulis/karya ilmiah hasil penelitian/pengkajian/ survei/evaluasi di bidang JF yang tidak dipublikasikan:","",""
"44","2B2a","dalam bentuk buku","8","Buku"
"45","2B2b","dalam bentuk majalah ilmiah","4","Naskah"
"46","2B3","Membuat karya tulis/karya ilmiah berupa tinjauan atau ulasan ilmiah hasil gagasan sendiri di bidang JF yang dipublikasikan:","",""
"47","2B3a","dalam bentuk buku yang diterbitkan dan diedarkan secara nasional","8","Buku"
"48","2B3b","dalam majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","4","Naskah"
"49","2B4","Membuat karya tulis/karya ilmiah berupa tinjauan atau ulasan ilmiah hasil gagasan sendiri di bidang JF yang tidak dipublikasikan:","",""
"50","2B4a","dalam bentuk buku","7","Buku"
"51","2B4b","dalam bentuk makalah","3.5","Naskah"
"52","2B5","Menyampaikan prasaran berupa tinjauan, gagasan dan atau ulasan ilmiah dalam pertemuan ilmiah","2.5","Naskah"
"53","2B6","Membuat artikel di bidang JF yang dipublikasikan","2","Artikel"
"54","2C","Penerjemahan/ Penyaduran Buku dan Bahan-Bahan Lain di bidang JF","",""
"55","2C1","Menerjemahkan/menyadur buku atau karya ilmiah di bidang JF yang dipublikasikan:","",""
"56","2C1a","dalam bentuk buku yang diterbitkan dan diedarkan secara nasional","7","Buku"
"57","2C1b","dalam majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","3.5","Naskah"
"58","2C2","Menerjemahkan / menyadur buku atau karya ilmiah di bidang JF yang tidak dipublikasikan:","",""
"59","2C2a","dalam bentuk buku","3","Buku"
"60","2C2b","dalam bentuk makalah","1.5","Naskah"
"61","2D","Penyusunan Standar/Pedoman/ Petunjuk Pelaksanaan/ Petunjuk Teknis di bidang JF","",""
"62","2D0","Membuat buku standar/pedoman/ petunjuk pelaksanaan/ petunjuk teknis di bidang JF","3","Buku"
"63","2E","Pengembangan Kompetensi di bidang JF","",""
"64","2E","maintain performance (pemeliharaan kinerja dan target kinerja)","0.5","Sertifikat/laporan"
"65","2E0","Mengikuti kegiatan pengembangan kompetensi:","",""
"66","2E01","pelatihan fungsional","0.5","Sertifikat/laporan"
"67","2E02","seminar/lokakarya/konferensi/simposium/studi banding-lapangan","3","Sertifikat/laporan"
"68","2E03","pelatihan teknis/magang di bidang tugas JF dan memperoleh Sertifikat","",""
"69","2E03a","Lamanya lebih dari 960 jam","15","Sertifikat/laporan"
"70","2E03b","Lamanya antara 641 - 960 jam","9","Sertifikat/laporan"
"71","2E03c","Lamanya antara 481 - 640 jam","6","Sertifikat/laporan"
"72","2E03d","Lamanya antara 161 - 480 jam","3","Sertifikat/laporan"
"73","2E03e","Lamanya antara 81 - 160 jam","2","Sertifikat/laporan"
"74","2E03f","Lamanya antara 30 - 80 jam","1","Sertifikat/laporan"
"75","2E03g","Lamanya kurang dari 30 jam","0.5","Sertifikat/laporan"
"76","2E04","Pelatihan manajerial/sosial kultural di bidang tugas JF dan memperoleh Sertifikat","",""
"77","2E04a","Lamanya lebih dari 960 jam","7.5","Sertifikat/laporan"
"78","2E04b","Lamanya antara 641 - 960 jam","4.5","Sertifikat/laporan"
"79","2E04c","Lamanya antara 481 - 640 jam","3","Sertifikat/laporan"
"80","2E04d","Lamanya antara 161 - 480 jam","1.5","Sertifikat/laporan"
"81","2E04e","Lamanya antara 81 - 160 jam","1","Sertifikat/laporan"
"82","2E04f","Lamanya antara 30 - 80 jam","0.5","Sertifikat/laporan"
"83","2E04g","Lamanya kurang dari 30 jam","0.25","Sertifikat/laporan"
"84","2F","Kegiatan lain yang mendukung pengembangan profesi yang ditetapkan oleh Instansi Pembina di bidang JF","",""
"85","2F0","Melaksanakan kegiatan lain yang mendukung pengembangan profesi yang ditetapkan oleh Instansi Pembina di bidang JF","0.5","Laporan"
"86","3","UNSUR PENUNJANG","",""
"87","3A","Pengajar/Pelatih/Pembimbing di bidang JF","",""
"88","3A0","Mengajar/melatih/membimbing yang berkaitan dengan bidang JF","0.4","Sertifikat/ Laporan"
"89","3B","Keanggotaan dalam Tim Penilai/Tim Uji Kompetensi","",""
"90","3B0","Menjadi anggota Tim Penilai/ Tim Uji Kompetensi","0.04","Laporan"
"91","3C","Perolehan Penghargaan","",""
"92","3C1","Memperoleh penghargaan / tanda jasa Satya Lancana Karya Satya:","",""
"93","3C1a","30 (tiga puluh) tahun","3","Piagam"
"94","3C1b","20 (dua puluh) tahun","2","Piagam"
"95","3C1c","10 (sepuluh) tahun","1","Piagam"
"96","3C2","Penghargaan atas prestasi kerjanya","",""
"97","3C2a","Tingkat Internasional","","Sertifikat/ Piagam"
"98","3C2b","Tingkat Nasional","","Sertifikat/ Piagam"
"99","3C2c","Tingkat lokal","","Sertifikat/ Piagam"
"100","3D","Perolehan Gelar Kesarjanaan Lainnya","",""
"101","3D0","Memperoleh gelar kesarjanaan lainnya yang tidak sesuai dengan bidang tugas JF","",""
"102","3D0a","Diploma II","3","Ijazah"
"103","3D0b","Sarjana Muda/Diploma III","4","Ijazah"
"104","3D0c","Sarjana/Diploma IV","5","Ijazah"
"105","3D0d","Magister","10","Ijazah"
"106","3D0e","Doktor","15","Ijazah"
"107","3E","Pelaksanaan tugas lain yang mendukung pelaksanaan tugas JF","",""
"108","3E0","Melakukan kegiatan yang mendukung pelaksanaan tugas JF","0.04","Laporan"
