"no","kode_butir","nama_butir","ak","satuan"
"39","1Z","Melakukan verifikasi/audit/penilaian pada pihak ketiga pelaksana tindakan karantina tumbuhan","0.24","Laporan hasil verifikasi/audit/penilaian pihak ketiga pelaksana tindakan karantina tumbuhan"
"40","2","PENGEMBANGAN PROFESI","",""
"41","2A","Perolehan ijazah/gelar pendidikan formal sesuai dengan bidang tugas JF","",""
"42","2A0","Memperoleh ijasah sesuai dengan bidang tugas JF","","Ijazah/Gelar"
"43","2B","Pembuatan Karya Tulis / Karya Ilmiah di bidang JF","",""
"44","2B1","Membuat karya tulis/karya ilmiah hasil penelitian/pengkajian/ survei/evaluasi di bidang JF yang dipublikasikan:","",""
"45","2B1a","Dalam buku/majalah ilmiah internasional yang terindek","20","Jurnal/Buku"
"46","2B1b","Dalam buku/majalah ilmiah nasional terakreditasi","12.5","Jurnal/Buku"
"47","2B1c","dalam buku/majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","6","Jurnal/Buku/Naskah"
"48","2B2","Membuat karya tulis/karya ilmiah hasil penelitian/pengkajian/ survei/evaluasi di bidang JF yang tidak dipublikasikan:","",""
"49","2B2a","dalam bentuk buku","8","Buku"
"50","2B2b","dalam bentuk majalah ilmiah","4","Naskah"
"51","2B3","Membuat karya tulis/karya ilmiah berupa tinjauan atau ulasan ilmiah hasil gagasan sendiri di bidang JF yang dipublikasikan:","",""
"52","2B3a","dalam bentuk buku yang diterbitkan dan diedarkan secara nasional","8","Buku"
"53","2B3b","dalam majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","4","Naskah"
"54","2B4","Membuat karya tulis/karya ilmiah berupa tinjauan atau ulasan ilmiah hasil gagasan sendiri di bidang JF yang tidak dipublikasikan:","",""
"55","2B4a","dalam bentuk buku","7","Buku"
"56","2B4b","dalam bentuk makalah","3.5","Naskah"
"57","2B5","Menyampaikan prasaran berupa tinjauan, gagasan dan atau ulasan ilmiah dalam pertemuan ilmiah","2.5","Naskah"
"58","2B6","Membuat artikel di bidang JF yang dipublikasikan","2","Artikel"
"59","2C","Penerjemahan/ Penyaduran Buku dan Bahan-Bahan Lain di bidang JF","",""
"60","2C1","Menerjemahkan/menyadur buku atau karya ilmiah di bidang JF yang dipublikasikan:","",""
"61","2C1a","dalam bentuk buku yang diterbitkan dan diedarkan secara nasional","7","Buku"
"62","2C1b","dalam majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","3.5","Naskah"
"63","2C2","Menerjemahkan / menyadur buku atau karya ilmiah di bidang JF yang tidak dipublikasikan:","",""
"64","2C2a","dalam bentuk buku","3","Buku"
"65","2C2b","dalam bentuk makalah","1.5","Naskah"
"66","2D","Penyusunan Standar/Pedoman/ Petunjuk Pelaksanaan/ Petunjuk Teknis di bidang JF","",""
"67","2D0","Membuat buku standar/pedoman/ petunjuk pelaksanaan/ petunjuk teknis di bidang JF","3","Buku"
"68","2E","Pengembangan Kompetensi di bidang JF","",""
"69","2E","maintain performance (pemeliharaan kinerja dan target kinerja)","0.5","Sertifikat/laporan"
"70","2E0","Mengikuti kegiatan pengembangan kompetensi:","",""
"71","2E01","pelatihan fungsional","0.5","Sertifikat/laporan"
"72","2E02","seminar/lokakarya/konferensi/simposium/studi banding-lapangan","3","Sertifikat/laporan"
"73","2E03","pelatihan teknis/magang di bidang tugas JF dan memperoleh Sertifikat","",""
"74","2E03a","Lamanya lebih dari 960 jam","15","Sertifikat/laporan"
"75","2E03b","Lamanya antara 641 - 960 jam","9","Sertifikat/laporan"
"76","2E03c","Lamanya antara 481 - 640 jam","6","Sertifikat/laporan"
"77","2E03d","Lamanya antara 161 - 480 jam","3","Sertifikat/laporan"
"78","2E03e","Lamanya antara 81 - 160 jam","2","Sertifikat/laporan"
"79","2E03f","Lamanya antara 30 - 80 jam","1","Sertifikat/laporan"
"80","2E03g","Lamanya kurang dari 30 jam","0.5","Sertifikat/laporan"
"81","2E04","Pelatihan manajerial/sosial kultural di bidang tugas JF dan memperoleh Sertifikat","",""
"82","2E04a","Lamanya lebih dari 960 jam","7.5","Sertifikat/laporan"
"83","2E04b","Lamanya antara 641 - 960 jam","4.5","Sertifikat/laporan"
"84","2E04c","Lamanya antara 481 - 640 jam","3","Sertifikat/laporan"
"85","2E04d","Lamanya antara 161 - 480 jam","1.5","Sertifikat/laporan"
"86","2E04e","Lamanya antara 81 - 160 jam","1","Sertifikat/laporan"
"87","2E04f","Lamanya antara 30 - 80 jam","0.5","Sertifikat/laporan"
"88","2E04g","Lamanya kurang dari 30 jam","0.25","Sertifikat/laporan"
"89","2F","Kegiatan lain yang mendukung pengembangan profesi yang ditetapkan oleh Instansi Pembina di bidang JF","",""
"90","2F0","Melaksanakan kegiatan lain yang mendukung pengembangan profesi yang ditetapkan oleh Instansi Pembina di bidang JF","0.5","Laporan"
"91","3","UNSUR PENUNJANG","",""
"92","3A","Pengajar/Pelatih/Pembimbing di bidang JF","",""
"93","3A0","Mengajar/melatih/membimbing yang berkaitan dengan bidang JF","0.4","Sertifikat/ Laporan"
"94","3B","Keanggotaan dalam Tim Penilai/Tim Uji Kompetensi","",""
"95","3B0","Menjadi anggota Tim Penilai/ Tim Uji Kompetensi","0.04","Laporan"
"96","3C","Perolehan Penghargaan","",""
"97","3C1","Memperoleh penghargaan / tanda jasa Satya Lancana Karya Satya:","",""
"98","3C1a","30 (tiga puluh) tahun","3","Piagam"
"99","3C1b","20 (dua puluh) tahun","2","Piagam"
"100","3C1c","10 (sepuluh) tahun","1","Piagam"
"101","3C2","Penghargaan atas prestasi kerjanya","",""
"102","3C2a","Tingkat Internasional","","Sertifikat/ Piagam"
"103","3C2b","Tingkat Nasional","","Sertifikat/ Piagam"
"104","3C2c","Tingkat lokal","","Sertifikat/ Piagam"
"105","3D","Perolehan Gelar Kesarjanaan Lainnya","",""
"106","3D0","Memperoleh gelar kesarjanaan lainnya yang tidak sesuai dengan bidang tugas JF","",""
"107","3D0a","Diploma II","3","Ijazah"
"108","3D0b","Sarjana Muda/Diploma III","4","Ijazah"
"109","3D0c","Sarjana/Diploma IV","5","Ijazah"
"110","3D0d","Magister","10","Ijazah"
"111","3D0e","Doktor","15","Ijazah"
"112","3E","Pelaksanaan tugas lain yang mendukung pelaksanaan tugas JF","",""
"113","3E0","Melakukan kegiatan yang mendukung pelaksanaan tugas JF","0.04","Laporan"
